Date,Month,Quarter,Year,Factory,Machine_ID,Shift,Operator_ID,Product_Type,Units_Target,Units_Produced,Good_Units,Defective_Units,Defect_Rate_%,Defect_Type,Downtime_Minutes,Temperature_C,Pressure_Bar,Production_Cost_PKR,Scrap_Cost_PKR,Efficiency_%
2024-10-16,October,Q4,2024,Factory-Lahore,M-105,Night,OP-006,Engine Part A,358,359,340,19,5.29,Assembly Fault,41,64.5,3.71,309220.24,6546.17,95.0
2023-04-25,April,Q2,2023,Factory-Islamabad,M-101,Night,OP-013,Brake Disc,306,304,296,8,2.63,Material Defect,76,108.1,3.52,542604.69,5711.63,96.7
2023-01-26,January,Q1,2023,Factory-Islamabad,M-103,Morning,OP-001,Suspension Unit,152,132,120,12,9.09,Assembly Fault,22,60.0,1.91,185632.25,6750.26,78.9
2023-10-09,October,Q4,2023,Factory-Islamabad,M-105,Night,OP-015,Brake Disc,274,235,230,5,2.13,Material Defect,48,110.7,2.99,388014.28,3302.25,83.9
2023-09-08,September,Q3,2023,Factory-Lahore,M-103,Night,OP-004,Suspension Unit,488,462,421,41,8.87,Assembly Fault,65,109.8,5.84,433344.61,15382.8,86.3
2023-08-17,August,Q3,2023,Factory-Karachi,M-101,Morning,OP-005,Gear Box,467,454,434,20,4.41,Material Defect,13,96.7,2.34,860477.27,15162.6,92.9
2023-05-23,May,Q2,2023,Factory-Islamabad,M-102,Evening,OP-011,Brake Disc,155,151,146,5,3.31,Dimensional Error,17,106.3,3.53,224640.44,2975.37,94.2
2023-04-15,April,Q2,2023,Factory-Islamabad,M-104,Morning,OP-014,Engine Part A,399,357,336,21,5.88,Surface Crack,10,101.5,2.28,615063.24,14472.08,84.2
2024-11-23,November,Q4,2024,Factory-Islamabad,M-104,Night,OP-013,Fuel Pump,314,327,300,27,8.26,Material Defect,51,76.4,5.84,639526.15,21121.96,95.5
2024-07-12,July,Q3,2024,Factory-Islamabad,M-102,Morning,OP-017,Transmission Kit,253,253,235,18,7.11,Dimensional Error,15,102.7,5.71,366565.36,10431.9,92.9
2023-03-31,March,Q1,2023,Factory-Islamabad,M-102,Night,OP-012,Exhaust Pipe,444,350,321,29,8.29,Surface Crack,42,90.2,4.62,344250.23,11409.44,72.3
2024-08-27,August,Q3,2024,Factory-Islamabad,M-103,Night,OP-019,Suspension Unit,441,424,335,89,20.99,Surface Crack,88,77.2,5.31,726081.84,60963.48,76.0
2024-03-08,March,Q1,2024,Factory-Lahore,M-101,Evening,OP-002,Gear Box,202,167,157,10,5.99,Assembly Fault,28,101.0,2.16,99039.22,2372.2,77.7
2023-02-02,February,Q1,2023,Factory-Karachi,M-102,Night,OP-015,Engine Part A,152,142,131,11,7.75,Assembly Fault,48,104.5,4.03,121607.84,3768.13,86.2
2023-01-31,January,Q1,2023,Factory-Karachi,M-101,Evening,OP-011,Transmission Kit,382,292,274,18,6.16,Dimensional Error,22,97.2,5.01,527111.72,12997.28,71.7
2023-04-06,April,Q2,2023,Factory-Islamabad,M-103,Night,OP-007,Brake Disc,250,221,162,59,26.7,Material Defect,29,71.2,2.28,280840.23,29990.18,64.8
2023-08-12,August,Q3,2023,Factory-Islamabad,M-101,Evening,OP-009,Exhaust Pipe,166,132,124,8,6.06,Dimensional Error,10,79.8,4.69,96651.53,2343.07,74.7
2023-08-27,August,Q3,2023,Factory-Islamabad,M-103,Night,OP-020,Engine Part A,438,368,283,85,23.1,Dimensional Error,90,81.5,5.03,359458.17,33210.81,64.6
2024-06-01,June,Q2,2024,Factory-Islamabad,M-102,Night,OP-006,Engine Part B,312,284,267,17,5.99,Assembly Fault,64,73.3,2.46,283382.38,6785.21,85.6
2024-09-08,September,Q3,2024,Factory-Islamabad,M-103,Morning,OP-001,Suspension Unit,158,150,125,25,16.67,Assembly Fault,25,96.8,4.3,290751.78,19383.45,79.1
2023-01-28,January,Q1,2023,Factory-Karachi,M-104,Morning,OP-018,Transmission Kit,470,392,359,33,8.42,Surface Crack,29,82.5,5.11,457987.46,15422.03,76.4
2024-07-28,July,Q3,2024,Factory-Karachi,M-103,Night,OP-017,Brake Disc,142,146,129,17,11.64,Dimensional Error,88,92.0,4.32,119161.14,5549.97,90.8
2023-07-23,July,Q3,2023,Factory-Islamabad,M-104,Morning,OP-014,Brake Disc,431,428,414,14,3.27,Surface Crack,26,69.2,3.57,426961.27,5586.41,96.1
2024-10-27,October,Q4,2024,Factory-Karachi,M-101,Morning,OP-018,Gear Box,136,125,121,4,3.2,Assembly Fault,13,84.5,3.53,138334.0,1770.68,89.0
2024-12-19,December,Q4,2024,Factory-Islamabad,M-101,Evening,OP-001,Engine Part B,428,413,402,11,2.66,Surface Crack,12,102.1,1.83,781425.58,8325.12,93.9
2024-07-12,July,Q3,2024,Factory-Islamabad,M-103,Night,OP-003,Exhaust Pipe,244,239,199,40,16.74,Dimensional Error,70,109.3,1.64,175541.97,11751.76,81.6
2024-03-05,March,Q1,2024,Factory-Islamabad,M-102,Night,OP-010,Transmission Kit,424,336,309,27,8.04,Dimensional Error,67,117.4,1.55,608882.53,19571.22,72.9
2023-08-14,August,Q3,2023,Factory-Islamabad,M-101,Morning,OP-020,Engine Part A,301,274,255,19,6.93,Dimensional Error,14,72.6,4.84,435360.25,12075.69,84.7
2024-04-04,April,Q2,2024,Factory-Lahore,M-104,Night,OP-006,Gear Box,213,199,191,8,4.02,Material Defect,34,70.9,5.1,353896.96,5690.81,89.7
2024-08-26,August,Q3,2024,Factory-Islamabad,M-105,Morning,OP-003,Exhaust Pipe,228,177,169,8,4.52,Dimensional Error,20,117.1,3.11,266728.97,4822.22,74.1
2023-10-12,October,Q4,2023,Factory-Lahore,M-101,Evening,OP-011,Engine Part B,348,308,291,17,5.52,Assembly Fault,29,101.6,2.19,415890.19,9181.99,83.6
2023-01-07,January,Q1,2023,Factory-Karachi,M-104,Morning,OP-008,Engine Part A,213,205,191,14,6.83,Material Defect,13,110.4,2.1,327889.13,8956.97,89.7
2023-06-13,June,Q2,2023,Factory-Karachi,M-104,Evening,OP-016,Fuel Pump,382,298,278,20,6.71,Dimensional Error,15,110.5,5.36,211580.75,5680.02,72.8
2024-12-15,December,Q4,2024,Factory-Islamabad,M-103,Night,OP-003,Engine Part B,109,109,87,22,20.18,Assembly Fault,71,106.2,2.46,60493.31,4883.86,79.8
2024-03-08,March,Q1,2024,Factory-Islamabad,M-105,Night,OP-005,Suspension Unit,287,249,236,13,5.22,Assembly Fault,57,68.0,3.76,158321.93,3306.32,82.2
2023-12-15,December,Q4,2023,Factory-Islamabad,M-105,Morning,OP-006,Brake Disc,487,440,424,16,3.64,Dimensional Error,10,94.0,4.05,795648.8,11573.07,87.1
2023-10-12,October,Q4,2023,Factory-Lahore,M-104,Evening,OP-016,Engine Part A,218,167,159,8,4.79,Material Defect,12,100.1,3.83,281760.84,5399.01,72.9
2023-06-09,June,Q2,2023,Factory-Lahore,M-104,Evening,OP-011,Engine Part A,152,146,138,8,5.48,Dimensional Error,27,110.1,2.68,192212.66,4212.88,90.8
2023-08-09,August,Q3,2023,Factory-Karachi,M-104,Night,OP-019,Transmission Kit,434,442,427,15,3.39,Assembly Fault,52,82.6,5.58,563354.49,7647.35,98.4
2023-12-11,December,Q4,2023,Factory-Islamabad,M-103,Evening,OP-001,Suspension Unit,356,361,300,61,16.9,Dimensional Error,24,64.6,4.4,295036.51,19941.53,84.3
2023-04-15,April,Q2,2023,Factory-Islamabad,M-102,Evening,OP-008,Engine Part B,312,309,283,26,8.41,Material Defect,40,100.5,3.66,428331.58,14416.34,90.7
2023-04-05,April,Q2,2023,Factory-Lahore,M-101,Morning,OP-019,Engine Part A,403,321,303,18,5.61,Dimensional Error,6,113.4,2.16,240593.37,5396.49,75.2
2024-01-25,January,Q1,2024,Factory-Islamabad,M-105,Evening,OP-010,Engine Part A,143,116,111,5,4.31,Dimensional Error,40,112.0,2.27,202483.26,3491.09,77.6
2023-04-10,April,Q2,2023,Factory-Lahore,M-105,Morning,OP-011,Exhaust Pipe,332,308,301,7,2.27,Material Defect,17,83.1,1.99,247485.03,2249.86,90.7
2024-01-03,January,Q1,2024,Factory-Lahore,M-102,Night,OP-016,Engine Part B,414,384,347,37,9.64,Dimensional Error,88,90.2,2.03,469770.78,18105.75,83.8
2023-12-19,December,Q4,2023,Factory-Islamabad,M-105,Night,OP-014,Engine Part A,367,321,304,17,5.3,Material Defect,87,85.7,5.72,392642.44,8317.66,82.8
2024-09-10,September,Q3,2024,Factory-Karachi,M-103,Night,OP-005,Engine Part B,230,205,178,27,13.17,Dimensional Error,30,77.0,5.45,228158.86,12020.08,77.4
2023-09-28,September,Q3,2023,Factory-Islamabad,M-101,Night,OP-017,Engine Part A,160,144,138,6,4.17,Dimensional Error,46,101.3,2.92,150250.27,2504.17,86.2
2023-02-14,February,Q1,2023,Factory-Karachi,M-104,Night,OP-018,Exhaust Pipe,316,290,271,19,6.55,Material Defect,70,105.3,3.36,485947.96,12735.19,85.8
2024-04-15,April,Q2,2024,Factory-Karachi,M-102,Evening,OP-010,Suspension Unit,395,337,309,28,8.31,Material Defect,18,111.3,4.47,546520.08,18163.28,78.2
2024-07-03,July,Q3,2024,Factory-Islamabad,M-102,Morning,OP-013,Brake Disc,273,270,249,21,7.78,Surface Crack,26,102.4,2.22,525650.95,16353.59,91.2
2023-05-08,May,Q2,2023,Factory-Islamabad,M-101,Morning,OP-014,Suspension Unit,145,111,107,4,3.6,Material Defect,7,96.5,4.76,210459.05,3033.64,73.8
2024-01-23,January,Q1,2024,Factory-Islamabad,M-105,Night,OP-020,Exhaust Pipe,129,133,126,7,5.26,Assembly Fault,83,86.3,2.41,197548.4,4158.91,97.7
2023-03-22,March,Q1,2023,Factory-Islamabad,M-102,Morning,OP-006,Brake Disc,445,338,321,17,5.03,Material Defect,5,118.5,1.89,308899.99,6214.56,72.1
2024-07-19,July,Q3,2024,Factory-Karachi,M-103,Night,OP-019,Transmission Kit,202,182,142,40,21.98,Assembly Fault,28,115.2,3.97,289235.87,25427.33,70.3
2023-10-28,October,Q4,2023,Factory-Islamabad,M-103,Evening,OP-007,Brake Disc,332,341,276,65,19.06,Assembly Fault,26,70.5,3.78,456239.61,34786.6,83.1
2024-10-05,October,Q4,2024,Factory-Islamabad,M-103,Morning,OP-019,Exhaust Pipe,228,218,161,57,26.15,Material Defect,23,89.0,2.59,220069.07,23016.4,70.6
2024-09-25,September,Q3,2024,Factory-Karachi,M-104,Night,OP-004,Engine Part A,232,178,166,12,6.74,Assembly Fault,48,100.6,2.53,173300.1,4673.26,71.6
2024-01-06,January,Q1,2024,Factory-Islamabad,M-105,Night,OP-009,Engine Part A,227,189,183,6,3.17,Assembly Fault,63,64.6,5.69,229603.47,2915.6,80.6
2024-08-14,August,Q3,2024,Factory-Lahore,M-102,Night,OP-007,Exhaust Pipe,355,344,327,17,4.94,Dimensional Error,50,112.4,2.43,276627.54,5468.22,92.1
2023-07-16,July,Q3,2023,Factory-Lahore,M-105,Evening,OP-004,Gear Box,140,133,127,6,4.51,Material Defect,10,105.9,3.94,74931.49,1352.15,90.7
2024-12-22,December,Q4,2024,Factory-Karachi,M-103,Night,OP-019,Fuel Pump,240,215,158,57,26.51,Surface Crack,85,76.8,2.5,293474.52,31121.95,65.8
2023-03-13,March,Q1,2023,Factory-Islamabad,M-105,Evening,OP-002,Suspension Unit,357,304,288,16,5.26,Assembly Fault,21,87.4,2.04,388301.54,8174.77,80.7
2023-02-16,February,Q1,2023,Factory-Karachi,M-101,Morning,OP-019,Brake Disc,151,127,120,7,5.51,Assembly Fault,13,71.2,2.68,114822.27,2531.51,79.5
2024-11-08,November,Q4,2024,Factory-Karachi,M-103,Morning,OP-007,Suspension Unit,314,301,254,47,15.61,Dimensional Error,17,76.8,2.31,209709.33,13098.12,80.9
2023-08-22,August,Q3,2023,Factory-Lahore,M-101,Night,OP-018,Exhaust Pipe,321,323,312,11,3.41,Dimensional Error,39,88.4,1.54,365726.76,4982.04,97.2
2023-10-24,October,Q4,2023,Factory-Karachi,M-105,Night,OP-010,Fuel Pump,228,209,201,8,3.83,Assembly Fault,70,65.9,2.24,172049.01,2634.24,88.2
2023-03-23,March,Q1,2023,Factory-Karachi,M-104,Night,OP-011,Engine Part B,233,199,187,12,6.03,Dimensional Error,52,80.6,3.35,204300.51,4927.85,80.3
2023-08-27,August,Q3,2023,Factory-Karachi,M-105,Night,OP-012,Gear Box,266,253,244,9,3.56,Dimensional Error,77,113.4,3.21,235235.7,3347.23,91.7
2023-04-14,April,Q2,2023,Factory-Karachi,M-102,Night,OP-020,Fuel Pump,392,341,308,33,9.68,Assembly Fault,30,69.7,2.53,332583.22,12874.19,78.6
2024-01-25,January,Q1,2024,Factory-Karachi,M-103,Night,OP-015,Transmission Kit,499,503,425,78,15.51,Surface Crack,86,117.9,3.36,390242.14,24205.87,85.2
2023-10-12,October,Q4,2023,Factory-Islamabad,M-102,Night,OP-009,Brake Disc,480,460,442,18,3.91,Material Defect,41,83.8,1.93,876387.63,13717.37,92.1
2024-04-09,April,Q2,2024,Factory-Karachi,M-105,Morning,OP-017,Engine Part A,491,514,502,12,2.33,Assembly Fault,24,69.3,4.45,939698.39,8775.39,102.2
2024-10-12,October,Q4,2024,Factory-Karachi,M-102,Morning,OP-005,Exhaust Pipe,167,151,144,7,4.64,Material Defect,6,99.8,5.37,149158.1,2765.85,86.2
2024-01-09,January,Q1,2024,Factory-Islamabad,M-104,Night,OP-015,Exhaust Pipe,169,175,163,12,6.86,Material Defect,42,95.4,3.55,284089.3,7792.16,96.4
2023-06-16,June,Q2,2023,Factory-Karachi,M-105,Night,OP-016,Exhaust Pipe,376,307,300,7,2.28,Surface Crack,59,81.9,2.67,293295.33,2675.01,79.8
2024-01-15,January,Q1,2024,Factory-Karachi,M-105,Morning,OP-016,Fuel Pump,373,280,265,15,5.36,Assembly Fault,29,88.6,1.54,320782.83,6873.92,71.0
2023-12-30,December,Q4,2023,Factory-Islamabad,M-105,Morning,OP-012,Engine Part A,196,171,164,7,4.09,Material Defect,17,75.0,4.72,251196.64,4113.16,83.7
2023-08-03,August,Q3,2023,Factory-Karachi,M-102,Evening,OP-008,Engine Part B,364,356,321,35,9.83,Material Defect,27,77.1,4.84,609903.82,23984.98,88.2
2024-11-17,November,Q4,2024,Factory-Lahore,M-102,Morning,OP-010,Gear Box,156,146,135,11,7.53,Dimensional Error,13,102.0,3.71,143220.98,4316.25,86.5
2023-10-01,October,Q4,2023,Factory-Lahore,M-101,Night,OP-004,Engine Part A,244,202,190,12,5.94,Assembly Fault,21,74.0,2.18,250554.6,5953.77,77.9
2024-12-19,December,Q4,2024,Factory-Karachi,M-104,Evening,OP-015,Suspension Unit,456,450,428,22,4.89,Material Defect,19,63.4,4.99,273184.67,5342.28,93.9
2024-11-30,November,Q4,2024,Factory-Karachi,M-102,Morning,OP-001,Exhaust Pipe,162,168,154,14,8.33,Surface Crack,17,106.3,3.49,269879.99,8996.0,95.1
2024-10-25,October,Q4,2024,Factory-Islamabad,M-102,Evening,OP-007,Engine Part B,342,296,266,30,10.14,Surface Crack,30,69.5,4.78,478657.71,19405.04,77.8
2023-03-15,March,Q1,2023,Factory-Lahore,M-103,Evening,OP-012,Exhaust Pipe,126,127,111,16,12.6,Assembly Fault,17,74.2,3.45,66370.4,3344.65,88.1
2024-09-15,September,Q3,2024,Factory-Lahore,M-105,Morning,OP-001,Transmission Kit,121,111,106,5,4.5,Dimensional Error,27,95.8,3.17,70398.4,1268.44,87.6
2024-10-12,October,Q4,2024,Factory-Islamabad,M-104,Morning,OP-002,Fuel Pump,130,111,107,4,3.6,Assembly Fault,22,107.5,2.07,94240.33,1358.42,82.3
2023-06-25,June,Q2,2023,Factory-Lahore,M-104,Night,OP-013,Brake Disc,283,273,261,12,4.4,Material Defect,25,89.1,3.47,257185.63,4521.95,92.2
2024-06-30,June,Q2,2024,Factory-Islamabad,M-102,Night,OP-012,Gear Box,265,256,243,13,5.08,Assembly Fault,90,69.6,3.89,300563.53,6105.2,91.7
2023-09-08,September,Q3,2023,Factory-Lahore,M-105,Evening,OP-017,Suspension Unit,294,285,270,15,5.26,Material Defect,33,106.6,2.57,450729.02,9489.03,91.8
2023-06-17,June,Q2,2023,Factory-Islamabad,M-102,Night,OP-005,Suspension Unit,413,344,323,21,6.1,Dimensional Error,61,66.6,3.85,206406.8,5040.17,78.2
2024-04-18,April,Q2,2024,Factory-Lahore,M-102,Morning,OP-016,Brake Disc,198,154,143,11,7.14,Assembly Fault,17,99.5,3.87,239003.54,6828.67,72.2
2024-01-24,January,Q1,2024,Factory-Islamabad,M-101,Evening,OP-003,Brake Disc,106,109,106,3,2.75,Surface Crack,41,115.7,5.24,131027.67,1442.51,100.0
2023-10-04,October,Q4,2023,Factory-Karachi,M-103,Night,OP-002,Transmission Kit,415,344,311,33,9.59,Surface Crack,29,110.1,1.85,283404.43,10874.82,74.9
2024-10-17,October,Q4,2024,Factory-Islamabad,M-101,Night,OP-013,Brake Disc,197,159,150,9,5.66,Assembly Fault,42,93.5,4.01,257446.85,5828.99,76.1
2024-12-05,December,Q4,2024,Factory-Lahore,M-104,Night,OP-006,Transmission Kit,192,175,165,10,5.71,Assembly Fault,40,92.0,4.2,332548.99,7601.12,85.9
2024-07-24,July,Q3,2024,Factory-Karachi,M-105,Evening,OP-014,Fuel Pump,471,398,387,11,2.76,Assembly Fault,44,72.8,4.95,751909.71,8312.57,82.2
2023-08-13,August,Q3,2023,Factory-Karachi,M-103,Evening,OP-001,Suspension Unit,471,358,308,50,13.97,Assembly Fault,11,91.1,5.97,341088.97,19055.25,65.4
2024-12-02,December,Q4,2024,Factory-Lahore,M-102,Morning,OP-009,Fuel Pump,383,345,320,25,7.25,Dimensional Error,23,69.3,1.67,356551.85,10334.84,83.6
2023-11-29,November,Q4,2023,Factory-Lahore,M-103,Evening,OP-009,Brake Disc,253,196,165,31,15.82,Dimensional Error,23,104.1,4.76,331113.83,20948.02,65.2
2023-02-27,February,Q1,2023,Factory-Islamabad,M-104,Night,OP-010,Engine Part B,119,115,108,7,6.09,Material Defect,30,106.8,5.65,115182.21,2804.44,90.8
2023-08-23,August,Q3,2023,Factory-Islamabad,M-104,Morning,OP-020,Brake Disc,105,98,92,6,6.12,Dimensional Error,6,78.3,1.69,128369.67,3143.75,87.6
2023-02-02,February,Q1,2023,Factory-Lahore,M-103,Night,OP-002,Brake Disc,444,430,361,69,16.05,Material Defect,77,105.2,4.09,273103.5,17529.43,81.3
2023-11-20,November,Q4,2023,Factory-Lahore,M-103,Evening,OP-011,Gear Box,142,126,98,28,22.22,Dimensional Error,45,84.0,1.88,157844.57,14030.63,69.0
2024-02-15,February,Q1,2024,Factory-Karachi,M-102,Evening,OP-013,Brake Disc,433,398,369,29,7.29,Assembly Fault,43,74.8,1.82,662732.82,19315.83,85.2
2023-10-02,October,Q4,2023,Factory-Islamabad,M-105,Morning,OP-014,Engine Part B,316,271,264,7,2.58,Assembly Fault,16,95.6,1.61,259408.86,2680.24,83.5
2023-03-09,March,Q1,2023,Factory-Karachi,M-105,Evening,OP-002,Gear Box,219,177,171,6,3.39,Dimensional Error,15,66.7,1.75,340443.81,4616.19,78.1
2023-08-05,August,Q3,2023,Factory-Islamabad,M-103,Morning,OP-004,Fuel Pump,256,226,205,21,9.29,Assembly Fault,11,104.4,2.45,298237.81,11084.95,80.1
